month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
March,1979,37,3,24,33,63,104,18.4207609,0.727272727,0
April,1979,34,4,22,32,64,95,16.30493164,0.6875,0
May,1979,34,2,24,34,65,108,17.97017751,0.705882353,0
June,1979,35,3,23,34,64.5,110,18.58782525,0.676470588,0
July,1979,35.5,3,24.5,34,67,118,18.47939407,0.720588235,0
August,1979,36,4,24,36,69,123,18.16194077,0.666666667,1
September,1979,33.5,2,22,34,67,105,16.44352863,0.647058824,0
October,1979,35,3,23,33,66,103,16.6228191,0.696969697,0
November,1979,34,2,23,34,67,110,17.2265538,0.676470588,0
December,1979,35,3,23,34,67,110,17.2265538,0.676470588,0
January,1980,38,5,24,36,68,115,17.48378028,0.666666667,0
February,1980,35.5,2,25,35.5,65.5,118,19.33546996,0.704225352,0
March,1980,34,3,25,36,68.5,125,18.72768927,0.694444444,0
April,1980,34.5,3,24,33.5,65,110,18.30295858,0.71641791,0
May,1980,37,3,24,35,69,130,19.19554715,0.685714286,0
June,1980,34,2,26,35,62,105,19.20265349,0.742857143,0
July,1980,35,3,22,34,67,104,16.28692359,0.647058824,0
August,1980,36,3,25,35,68,119,18.09191176,0.714285714,0
September,1980,34,3,22,34,67,115,18.00957897,0.647058824,0
October,1980,34,3,24,35,66,105,16.94559229,0.685714286,0
November,1980,34,3,23,33,67,105,16.44352863,0.696969697,0
December,1980,36,3,24,36,69,120,17.7189666,0.666666667,1
January,1981,38,6,26,37,65,123,20.4660355,0.702702703,0
February,1981,36,3,23,34,68,120,18.24394464,0.676470588,0
March,1981,36,3,24,36,68,124,18.85207612,0.666666667,0
April,1981,35,3,22,34,63,103,18.2436382,0.647058824,0
May,1981,36,2,24,36,65,105,17.47100592,0.666666667,0
June,1981,38,5,26,37,68,127,19.30817474,0.702702703,0
July,1981,36,3,24,34,67.5,120,18.51522634,0.705882353,0
August,1981,37.5,4,23,34,64,107,18.36450195,0.676470588,0
September,1981,36,3,24,36,68,120,18.24394464,0.666666667,0
October,1981,36,3,24,36,67,119,18.63599911,0.666666667,0
November,1981,36,3,25,36,70,128,18.36408163,0.694444444,1
December,1981,36,6,25,36,63,115,20.36911061,0.694444444,0
January,1982,37,6,22,34,63,101,17.88939279,0.647058824,0
February,1982,32,2,23,34,68,112,17.02768166,0.676470588,0
March,1982,35,3,23,33,66,106,17.10697888,0.696969697,0
April,1982,34,3,23,34,60.5,98,18.8222116,0.676470588,0
May,1982,36,5,20,34,65,105,17.47100592,0.588235294,0
June,1982,34,3,22,33,63,102,18.0665155,0.666666667,0
July,1982,36,5,22,36,66,115,18.55945822,0.611111111,0
August,1982,34,3,22,34,64,102,17.50634766,0.647058824,0
September,1982,34,3,22,35,67,115,18.00957897,0.628571429,0
October,1982,34,4,21,32,68,105,15.96345156,0.65625,1
November,1982,34,3,24,34,69,125,18.45725688,0.705882353,0
December,1982,34,5,23,34,69,116,17.12833438,0.676470588,0
January,1983,36,4,22,35,67,118,18.47939407,0.628571429,0
February,1983,35,2,23,34,64,101,17.3347168,0.676470588,0
March,1983,34,5,22,32,62,103,18.83688866,0.6875,0
April,1983,34,2,22,33,64,105,18.02124023,0.666666667,0
May,1983,34,2,23,34,65,108,17.97017751,0.676470588,0
June,1983,37,3,24,37,68,126,19.15614187,0.648648649,0
